attack,mode,num_samples,success_rate,num_success,prob_change_mean,prob_change_std,l0_mean,l0_std,l2_mean,l2_std,linf_mean,linf_std
FGSM_eps4,lesion,10,0.3,3,-0.006836,0.002115,21463.0,12723.80768480882,2.1740930581565903,0.7446396146548381,0.015686274509803977,0.0
FGSM_eps4,full,10,0.9,9,-0.012085,0.001984,149546.8,238.88273273721563,6.066081411729414,0.00484486792837446,0.015686274509804022,5.4394024277165696e-17
FGSM_eps8,lesion,10,0.5,5,-0.0082,0.002367,21463.0,12723.80768480882,4.348186116313181,1.4892792293096777,0.03137254901960795,1.671106944322084e-17
FGSM_eps8,full,10,0.8,8,-0.01211,0.002502,149546.8,238.88273273721563,12.132162823458838,0.00968973585674888,0.031372549019607954,0.0
FGSM_eps16,lesion,10,0.5,5,-0.008156,0.002417,21463.0,12723.80768480882,8.696372232626363,2.978558458619355,0.06274509803921578,1.8619006149354548e-17
FGSM_eps16,full,10,0.6,6,-0.01101,0.00263,149546.8,238.88273273721563,24.264325646917676,0.019379471713497378,0.06274509803921582,5.1178752665209035e-17
PGD_steps10,lesion,10,1.0,10,-0.01627,0.006226,19350.2,11308.383534351848,3.6348337973837297,1.159722698380349,0.03137254901960794,2.237726045655905e-17
PGD_steps10,full,10,1.0,10,-0.0282,0.00358,126228.3,3292.38901255608,8.830567415160465,0.3497166467238604,0.031372549019607954,0.0
PGD_steps20,lesion,10,1.0,10,-0.01717,0.006863,20042.6,11759.218147479023,3.795099997245873,1.2309239292003322,0.03137254901960795,1.671106944322084e-17
PGD_steps20,full,10,1.0,10,-0.03108,0.004494,134757.2,2110.5090760288144,9.504376416066801,0.3117080213579415,0.031372549019607954,0.0
PGD_steps40,lesion,10,1.0,10,-0.01762,0.00702,20491.1,12071.013647991622,3.8727644586862047,1.269283077403115,0.03137254901960795,1.671106944322084e-17
PGD_steps40,full,10,1.0,10,-0.03317,0.00478,140928.3,1287.5366441387212,9.838019820265728,0.2630061680499941,0.031372549019607954,0.0
