patient_id,algorithm,mode,c,kappa,overshoot,steps,lr,success,clean_prob,adv_prob,confidence_drop,l2_norm,linf_norm,l0_norm
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,5.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,5.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,5.0,1.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90409030245473,1.778116546629533,150526
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,5.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,5.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,5.0,10.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90409030245473,1.778116546629533,150526
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,50.0,0.0,,1000,0.05,0.0,0.5224609375,0.5068359375,0.015625,84.03850048513023,1.456499667236692,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,50.0,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,50.0,0.0,,1000,0.05,1.0,0.5224609375,0.498291015625,0.024169921875,258.76389246134755,1.7776646095791488,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,50.0,1.0,,1000,0.05,0.0,0.5224609375,0.505859375,0.0166015625,84.04248788176464,1.456499269577577,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,50.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,50.0,1.0,,1000,0.05,1.0,0.5224609375,0.4912109375,0.03125,258.7655614676638,1.7776649024126556,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,50.0,10.0,,1000,0.05,0.0,0.5224609375,0.505859375,0.0166015625,84.04248788176464,1.456499269577577,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,50.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,50.0,10.0,,1000,0.05,1.0,0.5224609375,0.4912109375,0.03125,258.7655614676638,1.7776649024126556,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,lesion,,,0.01,150,,0.0,0.5224609375,0.50634765625,0.01611328125,84.21188080728137,1.460002332804708,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,random_patch,,,0.01,150,,0.0,0.5224609375,0.51513671875,0.00732421875,83.40178012191025,1.8408154661397,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,full,,,0.01,150,,1.0,0.5224609375,0.499755859375,0.022705078125,258.84843742807755,1.7784713998481305,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,lesion,,,0.02,150,,0.0,0.5224609375,0.50634765625,0.01611328125,84.2140656100016,1.460005748789698,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,random_patch,,,0.02,150,,0.0,0.5224609375,0.51513671875,0.00732421875,83.41828060408272,1.8431984219520972,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,full,,,0.02,150,,1.0,0.5224609375,0.499755859375,0.022705078125,258.8497466328126,1.7784851067867464,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,lesion,,,0.05,150,,0.0,0.5224609375,0.50634765625,0.01611328125,84.21496424911227,1.4599606957360487,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,random_patch,,,0.05,150,,0.0,0.5224609375,0.51513671875,0.00732421875,83.42504858178859,1.8444431331325923,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,full,,,0.05,150,,0.0,0.5224609375,0.5,0.0224609375,258.8450669400392,1.7784385057175485,150528
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,lesion,,,0.1,150,,0.0,0.5224609375,0.50634765625,0.01611328125,84.21965704542436,1.4600001465148214,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,random_patch,,,0.1,150,,0.0,0.5224609375,0.5146484375,0.0078125,83.49209013661377,1.8535534627132888,27420
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,deepfool,full,,,0.1,150,,1.0,0.5224609375,0.499755859375,0.022705078125,258.85125686014953,1.7784875266386744,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.01,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.01,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.01,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.01,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.01,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.01,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.01,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.01,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.01,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.1,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.1,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.1,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.1,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.1,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.1,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,0.1,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,0.1,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,0.1,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,1.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,1.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,1.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,1.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,1.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,1.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,1.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,1.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,1.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,5.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,5.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,5.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,5.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,5.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,5.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,5.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,5.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,5.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,50.0,0.0,,1000,0.05,0.0,0.52001953125,0.5078125,0.01220703125,7.901978194974849,0.42002010500330406,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,50.0,0.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,50.0,0.0,,1000,0.05,0.0,0.52001953125,0.5,0.02001953125,128.6260008185682,1.777664636610412,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,50.0,1.0,,1000,0.05,0.0,0.52001953125,0.50439453125,0.015625,7.946712433373395,0.42009438882584244,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,50.0,1.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,50.0,1.0,,1000,0.05,1.0,0.52001953125,0.481689453125,0.038330078125,128.6350389073177,1.7776649018101265,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,lesion,50.0,10.0,,1000,0.05,0.0,0.52001953125,0.50439453125,0.015625,7.946712433373395,0.42009438882584244,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,random_patch,50.0,10.0,,1000,0.05,0.0,0.52001953125,0.52001953125,0.0,0.0,0.0,0
f92ddac9-aba6-4607-ba72-6ab7e8776fef,cw,full,50.0,10.0,,1000,0.05,1.0,0.52001953125,0.481689453125,0.038330078125,128.6350389073177,1.7776649018101265,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,lesion,,,0.01,150,,0.0,0.52001953125,0.501953125,0.01806640625,8.393286153806752,0.4359193739650412,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,random_patch,,,0.01,150,,0.0,0.52001953125,0.5068359375,0.01318359375,47.96542367209465,0.7866685588713832,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,full,,,0.01,150,,1.0,0.52001953125,0.499755859375,0.020263671875,128.73680076274397,1.7813142775807618,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,lesion,,,0.02,150,,0.0,0.52001953125,0.501953125,0.01806640625,8.387700343332483,0.43560069808576485,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,random_patch,,,0.02,150,,0.0,0.52001953125,0.50732421875,0.0126953125,47.944575402650706,0.7913875206829498,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,full,,,0.02,150,,1.0,0.52001953125,0.499755859375,0.020263671875,128.7344036036836,1.7812353210572138,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,lesion,,,0.05,150,,0.0,0.52001953125,0.501953125,0.01806640625,8.39949171614309,0.4352720554345717,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,random_patch,,,0.05,150,,0.0,0.52001953125,0.50732421875,0.0126953125,47.917208445469996,0.79285936412167,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,full,,,0.05,150,,0.0,0.52001953125,0.5,0.02001953125,128.73414252834286,1.7812044279566237,150528
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,lesion,,,0.1,150,,0.0,0.52001953125,0.501953125,0.01806640625,8.432780929428727,0.4351465765758709,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,random_patch,,,0.1,150,,0.0,0.52001953125,0.50830078125,0.01171875,47.864976230536605,0.7806620530756574,25914
f92ddac9-aba6-4607-ba72-6ab7e8776fef,deepfool,full,,,0.1,150,,1.0,0.52001953125,0.499755859375,0.020263671875,128.73731984961861,1.7812276397200237,150528
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.01,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.01,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.01,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.01,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.01,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.01,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.01,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.01,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.01,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.1,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.1,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.1,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.1,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.1,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.1,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,0.1,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,0.1,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,0.1,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,1.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,1.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,1.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,1.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,1.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,1.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,1.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,1.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
